N,q,delta,success_rate,avg_attack_time,avg_norm_ratio
19,31,0.99,0.0,0.016678619384765624,0.0511131516248580
19,31,0.85,0.0,0.015073442459106445,0.0518683522052232
19,31,0.75,0.0,0.014641094207763671,0.0723984682329129
19,63,0.99,1.0,0.007731294631958008,0.0254527790866237
19,63,0.85,1.0,0.009346294403076171,0.0251826888958144
19,63,0.75,1.0,0.01009364128112793,0.0271824603344591
19,127,0.99,1.0,0.013811349868774414,0.0126592198187921
19,127,0.85,1.0,0.01093597412109375,0.0125606190704789
19,127,0.75,1.0,0.01587538719177246,0.0123932438944694
19,257,0.75,1.0,0.008707141876220703,0.00639072091282112
19,257,0.85,1.0,0.011995935440063476,0.00614854763524613
19,257,0.99,1.0,0.00905919075012207,0.00608308231798703
19,2047,0.75,1.0,0.007592535018920899,0.000769328321578053
19,2047,0.85,1.0,0.007395887374877929,0.000759018658978753
19,2047,0.99,1.0,0.008417129516601562,0.000787829553810448
41,31,0.75,0.0,0.03908867835998535,0.000000000000000
41,31,0.85,0.0,0.05053601264953613,0.000000000000000
41,31,0.99,0.0,0.09929590225219727,0.0913065260013794
41,63,0.75,0.0,0.0384735107421875,0.000000000000000
41,63,0.85,0.0,0.06343588829040528,0.000000000000000
41,63,0.99,0.8,0.12205996513366699,0.0431662080649730
41,127,0.75,0.0,0.05130791664123535,0.000000000000000
41,127,0.85,0.4,0.06954736709594726,0.00466579604091166
41,127,0.99,1.0,0.11576027870178222,0.0118993507582679
41,257,0.75,0.0,0.05445404052734375,0.000000000000000
41,257,0.85,1.0,0.09728851318359374,0.00582005291187953
41,257,0.99,1.0,0.11574430465698242,0.00582346009204464
41,2047,0.75,0.4,0.07254261970520019,0.00201056003132620
41,2047,0.85,1.0,0.07758288383483887,0.000742477425879694
41,2047,0.99,1.0,0.10070147514343261,0.000727798113809237
61,31,0.75,0.0,0.09973254203796386,0.000000000000000
61,31,0.85,0.0,0.13071589469909667,0.000000000000000
61,31,0.99,0.0,0.28671679496765134,0.000000000000000
61,63,0.75,0.0,0.1205472469329834,0.000000000000000
61,63,0.85,0.0,0.1721792697906494,0.000000000000000
61,63,0.99,0.0,0.3901026248931885,0.000000000000000
61,127,0.75,0.0,0.12051639556884766,0.000000000000000
61,127,0.85,0.0,0.1730739116668701,0.000000000000000
61,127,0.99,0.0,0.4366628170013428,0.0609370233518150
61,257,0.75,0.0,0.1533658504486084,0.000000000000000
61,257,0.85,0.0,0.2615233898162842,0.000000000000000
61,257,0.99,0.8,0.6831524848937989,0.0242644910017780
61,2047,0.75,0.0,0.22236547470092774,0.000000000000000
61,2047,0.85,0.0,0.42287821769714357,0.00331924519661030
61,2047,0.99,1.0,0.5102555274963378,0.000715122800270303
83,31,0.75,0.0,0.27115778923034667,0.000000000000000
83,31,0.85,0.0,0.3132283687591553,0.000000000000000
83,31,0.99,0.0,0.6095854282379151,0.000000000000000
83,63,0.75,0.0,0.27946906089782714,0.000000000000000
83,63,0.85,0.0,0.37442631721496583,0.000000000000000
83,63,0.99,0.0,0.741923189163208,0.000000000000000
83,127,0.75,0.0,0.31076393127441404,0.000000000000000
83,127,0.85,0.0,0.3939621925354004,0.000000000000000
83,127,0.99,0.0,0.9644293308258056,0.000000000000000
83,257,0.75,0.0,0.3452232837677002,0.000000000000000
83,257,0.85,0.0,0.4904203414916992,0.000000000000000
83,257,0.99,0.0,1.41700439453125,0.000000000000000
83,2047,0.75,0.0,0.4477051258087158,0.000000000000000
83,2047,0.85,0.0,0.8107125282287597,0.000000000000000
83,2047,0.99,0.4,2.2777000427246095,0.00198562811452789
107,31,0.75,0.0,0.5513961315155029,0.000000000000000
107,31,0.85,0.0,0.6341204643249512,0.000000000000000
107,31,0.99,0.0,1.1821696758270264,0.000000000000000
107,63,0.85,0.0,0.6835588932037353,0.000000000000000
107,63,0.75,0.2,0.6016749858856201,0.000000000000000
107,63,0.99,0.0,1.4831209182739258,0.000000000000000
107,127,0.75,0.0,0.6122788906097412,0.000000000000000
107,127,0.85,0.0,0.7312043666839599,0.000000000000000
107,127,0.99,0.0,2.0172783851623537,0.000000000000000
107,257,0.75,0.0,0.6867534637451171,0.000000000000000
107,257,0.85,0.0,0.9365147590637207,0.000000000000000
107,257,0.99,0.0,2.7221909046173094,0.000000000000000
107,2047,0.75,0.0,1.3651562690734864,0.000000000000000
107,2047,0.85,0.0,2.4016685485839844,0.000000000000000
107,2047,0.99,0.0,38.423421955108644,0.000000000000000
131,31,0.75,0.0,1.465634536743164,0.000000000000000
131,31,0.85,0.0,1.520350408554077,0.000000000000000
131,31,0.99,0.0,2.215889310836792,0.000000000000000
131,63,0.75,0.0,1.3073387145996094,0.000000000000000
131,63,0.85,0.0,1.8162251949310302,0.000000000000000
131,63,0.99,0.0,3.2171239376068117,0.000000000000000
131,127,0.75,0.0,1.3017725467681884,0.000000000000000
131,127,0.85,0.0,1.5216186046600342,0.000000000000000
131,127,0.99,0.0,4.031512117385864,0.000000000000000
131,257,0.75,0.0,1.290240478515625,0.000000000000000
131,257,0.85,0.0,2.4116384506225588,0.000000000000000
131,257,0.99,0.0,11.19774169921875,0.000000000000000
131,2047,0.75,0.0,2.83884916305542,0.000000000000000
131,2047,0.85,0.0,8.078688621520996,0.000000000000000
131,2047,0.99,0.0,85.60181169509887,0.000000000000000
167,31,0.75,0.0,4.88133659362793,0.000000000000000
167,31,0.85,0.0,4.477467727661133,0.000000000000000
167,31,0.99,0.0,7.232284593582153,0.000000000000000
167,63,0.85,0.0,5.282680797576904,0.000000000000000
167,63,0.75,0.0,5.236140727996826,0.000000000000000
167,63,0.99,0.0,7.269297885894775,0.000000000000000
167,127,0.75,0.0,4.639888715744019,0.000000000000000
167,127,0.85,0.0,5.264644289016724,0.000000000000000
167,127,0.99,0.0,11.226243495941162,0.000000000000000
167,257,0.75,0.0,4.455922985076905,0.000000000000000
167,257,0.85,0.0,5.7875138282775875,0.000000000000000
167,257,0.99,0.0,28.655991792678833,0.000000000000000
167,2047,0.75,0.0,11.354974460601806,0.000000000000000
167,2047,0.85,0.0,24.252037239074706,0.000000000000000
167,2047,0.99,0.0,115.05138144493102,0.000000000000000
